Gene Name,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
rpoC,24.93804613,24.73252022,23.99412206,24.61324271,24.71040792,24.33101313
gdhZ,24.8756305,24.69349206,23.9621695,24.20127502,24.34258798,24.03841937
rpoB,24.97193501,24.79758633,23.98354964,24.64130033,24.69013826,24.31534197
putA,25.29813558,25.10749231,24.57484757,24.56726493,24.72296592,24.47419808
gltB,22.24614909,22.0473343,21.58021808,21.41565513,21.44389661,21.06795685
alaS,24.63073149,24.44385868,24.39982604,24.0212362,24.17926827,24.00333124
CCNA_02721,24.29452933,24.08942074,24.31934467,24.10900804,24.28362083,24.1643828
CCNA_03686,21.19002719,21.05178778,20.63440339,20.76376998,20.86400776,20.54745564
CCNA_00974,22.99877703,22.59534582,22.40429027,24.73127759,24.87333221,24.65889005
carB,23.85633358,23.71250853,23.63056487,23.2282609,23.36786369,23.11184376
fusA,26.23421663,26.20968345,26.77906445,26.13862195,26.37492657,26.45611812
CCNA_01155,25.2210342,25.03023235,25.22468151,24.7060921,24.94158748,24.90306614
CCNA_01034,24.95118154,24.63627457,24.94949048,24.78031668,24.96648855,24.83026064
bamA,24.40509575,24.2126733,24.40028221,24.09265005,24.29193285,24.10445607
secA,23.8316142,23.73593195,22.75745593,22.83387373,22.94390482,22.73617976
tipN,22.05844234,21.78711981,21.29670116,21.24585905,21.37872455,20.98217474
chvT,26.43521942,26.21841276,26.43361269,25.76802295,26.01862825,25.874388
ileS,23.68088829,23.5020315,23.7163866,23.14415347,23.36038095,23.33538163
vor,22.3839795,22.01324906,21.1273571,22.95285284,23.04358472,22.78424663
CCNA_00115,23.47147181,23.24115224,23.50421575,23.2244828,23.46188906,23.22186026
valS,23.71103843,23.56952652,23.75266648,23.44518564,23.63200829,23.57899821
CCNA_02661,24.48781403,24.45387546,24.62594735,23.0924081,23.18859428,23.07185643
gyrA,23.45575765,23.33456354,22.81049005,22.63977788,22.73119471,22.5052824
CCNA_03699,23.91697792,23.73789263,24.04318419,23.6212032,23.71282336,23.60410706
CCNA_03619,25.75366134,25.60286194,25.77097394,25.74116308,25.91501826,25.74332215
leuS,23.64932723,23.42072612,23.73241671,23.34272361,23.52623654,23.18369656
CCNA_00210,26.33735676,26.15703632,26.30962928,25.64801081,25.84849897,25.64633611
CCNA_01538,24.93876407,24.89272883,24.8445058,24.57974637,24.70940906,24.69083095
CCNA_02237,23.92061672,23.73210613,24.0022155,23.58416979,23.79620046,23.62756238
CCNA_01202,23.54002301,23.3138208,23.48799798,22.8794965,23.10357596,22.95121712
CCNA_02048,25.54798508,25.22335628,25.55683906,24.97254865,25.14841141,24.78949982
lptD,23.17631866,22.93809999,23.13763347,22.7152976,22.90008331,22.74416947
acnA,25.05511062,24.93593512,24.87211122,24.54398005,24.6701743,24.44221407
CCNA_03467,22.17215767,21.94538811,22.10428009,22.05168823,22.26665159,22.14167685
CCNA_00074,24.77041952,24.59656332,24.31630916,24.3743794,24.53409671,24.34062001
clpB,21.56206724,21.34359129,21.0362407,21.32690562,21.48959124,21.23584596
CCNA_03023,24.35292654,23.99946538,24.26942235,23.67551432,23.93777681,23.76617867
CCNA_02566,22.58196552,22.33076701,22.21388975,22.39328047,22.58270065,22.46163931
CCNA_03680,21.9085187,21.72196529,21.20353202,21.32410581,21.39571403,21.1515889
CCNA_00858,22.95868723,22.8662549,22.95874032,21.68935991,21.69251334,21.6314755
pnp,25.41083147,25.23421663,24.69253463,24.60574671,24.69482078,24.44808807
smc,19.3306412,19.10272415,18.88807135,19.49841294,19.64320443,19.51883754
CCNA_01036,23.21958746,22.98908816,23.18561832,23.12440975,23.33919324,23.0988462
CCNA_03802,23.17566406,22.96931976,23.43822128,23.25522686,23.24099217,23.18758284
CCNA_03663,23.39086903,23.19362582,22.64967808,22.65525818,22.75892017,22.33382687
