Gene Name,HNOX_1,HNOX_2,HNOX_3,WT_1,WT_2,WT_3,WT_Mean,HNOX_Mean,Log2_FC,P_Value,MinusLog10_P
Pden_0444,0.0,0.0,0.0,15861000.0,15839000.0,15009000.0,15569666.666666666,0.0,-inf,6.298543369328711e-07,6.2007598759125875
ppk,0.0,0.0,0.0,2335300.0,2519400.0,2585500.0,2480066.6666666665,0.0,-inf,4.949660419743125e-06,5.305424595589784
Pden_4022,0.0,0.0,0.0,4163000.0,4203200.0,3781000.0,4049066.6666666665,0.0,-inf,7.259055507633191e-06,5.139119882675552
Pden_4104,0.0,0.0,0.0,4776700.0,5177700.0,4477700.0,4810700.0,0.0,-inf,1.8721750731285005e-05,4.727653541421382
Pden_0682,0.0,0.0,0.0,2232800.0,1855500.0,2098100.0,2062133.3333333333,0.0,-inf,4.8348048735684385e-05,4.315621048787293
Pden_3554,0.0,0.0,0.0,5599600.0,5780600.0,6014800.0,5798333.333333333,0.0,-inf,1.1043403594309754e-06,5.956897055735624
Pden_0720,12513000.0,13548000.0,12501000.0,8554200.0,9988500.0,9636400.0,9393033.333333334,12854000.0,0.4525543434334337,0.003341717622169786,2.476030251125665
Pden_1933,18118000.0,18652000.0,19540000.0,22994000.0,23047000.0,25150000.0,23730333.333333332,18770000.0,-0.33830371563780715,0.0038059774853902778,2.4195337851503345
Pden_1662,29921000.0,36186000.0,29864000.0,71621000.0,88955000.0,80356000.0,80310666.66666667,31990333.333333332,-1.3279555905552638,0.0008787660645120783,3.056126722666083
hpa,8317400.0,7119500.0,8042200.0,9807600.0,11169000.0,10861000.0,10612533.333333334,7826366.666666667,-0.43935447775108816,0.007093472263420409,2.14914112508453
Pden_0036,30378000.0,33002000.0,27686000.0,40054000.0,43037000.0,40926000.0,41339000.0,30355333.333333332,-0.4455534744804537,0.0034435169293370715,2.4629977775546306
Pden_3450,0.0,0.0,0.0,3125200.0,3032600.0,4079700.0,3412500.0,0.0,-inf,0.0005211679536362882,3.2830222966946954
thiG,8199000.0,7202500.0,6922400.0,9475000.0,9655900.0,10516000.0,9882300.0,7441300.0,-0.40929216966095705,0.008332279518099672,2.0792361694573565
ddl,6024000.0,6167800.0,5658200.0,4098300.0,4603400.0,3716000.0,4139233.3333333335,5950000.0,0.5235260911849171,0.003725457253888217,2.428820415357786
Pden_0845,0.0,0.0,0.0,276700.0,322150.0,403430.0,334093.3333333333,0.0,-inf,0.000839168353049571,3.0761509027400202
Pden_0011,9922400.0,13498000.0,10570000.0,0.0,0.0,0.0,0.0,11330133.333333334,,0.0005010436282268683,3.300124456421704
Pden_4801,7210700.0,7828800.0,7685400.0,10398000.0,9838100.0,10950000.0,10395366.666666666,7574966.666666667,-0.456629200821531,0.0016126058493586353,2.7924717692299743
Pden_3552,34478000.0,34669000.0,37104000.0,41545000.0,44719000.0,41113000.0,42459000.0,35417000.0,-0.2616283794395325,0.007647280045319847,2.116493005546633
Pden_4178,9397500.0,7128900.0,8343700.0,5449700.0,3826000.0,3603200.0,4292966.666666667,8290033.333333333,0.9494029318303616,0.010336608691084883,1.9856219243300495
Pden_4177,8347700.0,6562600.0,8353300.0,4798700.0,3735700.0,3606200.0,4046866.6666666665,7754533.333333333,0.9382346458170753,0.0062778001027995346,2.202192517185397
argB,9327900.0,9942000.0,8705500.0,12707000.0,11329000.0,11139000.0,11725000.0,9325133.333333334,-0.33039166406029147,0.01699729759798856,1.7696201216555463
Pden_4401,8163600.0,11438000.0,11964000.0,20552000.0,16529000.0,19554000.0,18878333.333333332,10521866.666666666,-0.8433407290875019,0.007888059636494325,2.1030298146360007
clpB,33784000.0,32176000.0,32285000.0,27417000.0,29466000.0,29022000.0,28635000.0,32748333.333333332,0.1936418817238785,0.007096415664456689,2.148960954127167
Pden_4404,9828800.0,11901000.0,13050000.0,17349000.0,19682000.0,23317000.0,20116000.0,11593266.666666666,-0.7950563227485383,0.012509399569010286,1.9027635352405223
Pden_4053,13708000.0,15321000.0,14587000.0,16017000.0,17372000.0,18012000.0,17133666.666666668,14538666.666666666,-0.23693895988726643,0.025873354534102326,1.5871472604522336
Pden_1377,19340000.0,19599000.0,19028000.0,14339000.0,14051000.0,15683000.0,14691000.0,19322333.333333332,0.39533672030391825,0.0009403419414236929,3.026714192921937
Pden_3555,6925700.0,7887000.0,7947700.0,8769700.0,10185000.0,9209500.0,9388066.666666666,7586800.0,-0.3073365802735664,0.027856075124646627,1.5550800749826497
bhcC,10197000.0,7017600.0,6599900.0,0.0,0.0,0.0,0.0,7938166.666666667,,0.002205279106356155,2.6565364371805402
Pden_2090,2175000.0,0.0,0.0,3479400.0,3402900.0,4322700.0,3735000.0,725000.0,-2.3650553427743026,0.01836266018075911,1.7360644027569563
thiC,8016300.0,12315000.0,11651000.0,15507000.0,17421000.0,17063000.0,16663666.666666666,10660766.666666666,-0.6443946927631079,0.01469690593962844,1.832774085304925
Pden_1248,41197000.0,42167000.0,40340000.0,50390000.0,60326000.0,60048000.0,56921333.333333336,41234666.666666664,-0.4651117110098667,0.009033237726222592,2.0441565603611633
bapA,64131000.0,68572000.0,54271000.0,44943000.0,49546000.0,47536000.0,47341666.666666664,62324666.666666664,0.39669276457204206,0.027749960158756717,1.556737636067234
rplI,251700000.0,297560000.0,288860000.0,310230000.0,347700000.0,349910000.0,335946666.6666667,279373333.3333333,-0.26603789602627415,0.041255859945705,1.3845143559301842
Pden_3553,17692000.0,17742000.0,19953000.0,21278000.0,21605000.0,22161000.0,21681333.333333332,18462333.333333332,-0.23186858331644128,0.01508568910530683,1.8214348467222206
pnp,92196000.0,99452000.0,97160000.0,103920000.0,105960000.0,111380000.0,107086666.66666667,96269333.33333333,-0.15363065687948155,0.02484883972281932,1.6046938851496155
Pden_0793,101020000.0,99767000.0,100610000.0,112390000.0,127820000.0,127060000.0,122423333.33333333,100465666.66666667,-0.28517599917846925,0.012052543425413603,1.9189212950755277
Pden_3557,38013000.0,36349000.0,35501000.0,40592000.0,43105000.0,41683000.0,41793333.333333336,36621000.0,-0.1906016420859045,0.00753415162694502,2.122965643744791
Pden_0093,324400000.0,419370000.0,412980000.0,482230000.0,578570000.0,488360000.0,516386666.6666667,385583333.3333333,-0.42140905702918113,0.040191300958987486,1.3958679358292374
Pden_2425,11700000.0,11851000.0,12820000.0,16558000.0,13789000.0,15562000.0,15303000.0,12123666.666666666,-0.33598841486972497,0.022706088240660557,1.643857678718396
atpD,413760000.0,436660000.0,442530000.0,466690000.0,447760000.0,475050000.0,463166666.6666667,430983333.3333333,-0.10389934914034422,0.054156714885416124,1.266347687572671
Pden_4309,0.0,0.0,921460.0,1156700.0,1374000.0,1659300.0,1396666.6666666667,307153.3333333333,-2.184956798082585,0.03272789882677768,1.4850818760616287
Pden_2882,9525100.0,12115000.0,11641000.0,12959000.0,13290000.0,15437000.0,13895333.333333334,11093700.0,-0.324859826373652,0.06543875750574013,1.1841649552646618
Pden_1798,14301000.0,14371000.0,13927000.0,11777000.0,11202000.0,12251000.0,11743333.333333334,14199666.666666666,0.2740150891399693,0.001803089524286985,2.7439827098063754
Pden_4344,8267700.0,8670900.0,9363700.0,4838200.0,4065100.0,5406300.0,4769866.666666667,8767433.333333334,0.8782056166524564,0.001362500156001519,2.8656634393261124
pxpA,50532000.0,39666000.0,41689000.0,29485000.0,35508000.0,32709000.0,32567333.333333332,43962333.333333336,0.43284236609103394,0.038846485331686484,1.41064826824282
grpE,57919000.0,60789000.0,60685000.0,56209000.0,56350000.0,56834000.0,56464333.333333336,59797666.666666664,0.08274933876947319,0.025421195652577527,1.5948040268305936
hisH,7021800.0,7715500.0,8306400.0,8711300.0,8851900.0,9219600.0,8927600.0,7681233.333333333,-0.21693441370172148,0.03592702779921807,1.444578709981291
Pden_4439,28867000.0,23921000.0,24774000.0,30614000.0,32586000.0,30094000.0,31098000.0,25854000.0,-0.26643429527431656,0.037073045622394926,1.4309417343732544
Pden_2580,16754000.0,20554000.0,20024000.0,22057000.0,30658000.0,27747000.0,26820666.666666668,19110666.666666668,-0.48896699103613633,0.05073566556865731,1.2946866380212871
fhs1,14102000.0,14721000.0,13984000.0,14772000.0,15814000.0,15991000.0,15525666.666666666,14269000.0,-0.12177098718511209,0.047230797403398785,1.325774722113909
Pden_1325,9942800.0,10230000.0,10641000.0,11093000.0,10608000.0,11502000.0,11067666.666666666,10271266.666666666,-0.10773699121631111,0.07233396915600664,1.1406577033633238
Pden_1563,45774000.0,48321000.0,45674000.0,49507000.0,52063000.0,56854000.0,52808000.0,46589666.666666664,-0.18074649469582701,0.055278577584527,1.2574431406544566
Pden_0518,180400000.0,162130000.0,171040000.0,153260000.0,153980000.0,148010000.0,151750000.0,171190000.0,0.17390191322671736,0.025552690786049763,1.5925633604215277
